전자영수증 발급,GS리테일,100,건
전자영수증 발급,이마트,100,건
텀블러/다회용컵 이용,스타벅스코리아,300,회
텀블러/다회용컵 이용,메가엠지씨커피,300,회
일회용컵 반환,롯데GRS,200,개
다회용기 이용(배달),요기요,1000,건
무공해차 대여,롯데렌탈,5000,일
친환경제품(리필스테이션),아모레퍼시픽,2000,회
고품질 재활용품 배출,수퍼빈,100,kg
폐휴대폰 반납,SK네트웍스,1000,대
친환경 숙박,야놀자,1000,박
기후행동 실천,당근마켓,300,건
전자영수증 발급,GS25,100,건
전자영수증 발급,CU,100,건
전자영수증 발급,세븐일레븐,100,건
전자영수증 발급,이마트,100,건
전자영수증 발급,롯데마트,100,건
전자영수증 발급,홈플러스,100,건
전자영수증 발급,현대백화점,100,건
전자영수증 발급,신세계백화점,100,건
전자영수증 발급,갤러리아백화점,100,건
전자영수증 발급,스타벅스코리아,100,건
텀블러/다회용컵 이용,스타벅스코리아,300,회
텀블러/다회용컵 이용,메가MGC커피,300,회
텀블러/다회용컵 이용,컴포즈커피,300,회
텀블러/다회용컵 이용,빽다방,300,회
텀블러/다회용컵 이용,투썸플레이스,300,회
텀블러/다회용컵 이용,이디야커피,300,회
텀블러/다회용컵 이용,폴바셋,300,회
일회용컵 반환,롯데GRS(엔제리너스),200,개
일회용컵 반환,제주도 일회용컵 보증금제 매장,200,개
일회용컵 반환,세종시 보증금제 매장,200,개
다회용기 이용(배달),배달의민족,1000,건
다회용기 이용(배달),요기요,1000,건
다회용기 이용(배달),쿠팡이츠,1000,건
다회용기 이용(배달),땡겨요,1000,건
무공해차 대여,쏘카,5000,일
무공해차 대여,그린카,5000,일
무공해차 대여,롯데렌탈,5000,일
무공해차 대여,SK렌터카,5000,일
친환경제품(리필스테이션),아모레퍼시픽,2000,회
친환경제품(리필스테이션),이니스프리,2000,회
친환경제품(리필스테이션),알맹상점,2000,회
친환경제품(리필스테이션),더바디샵,2000,회
친환경제품 구매,이마트(친환경인증매장),1000,건
친환경제품 구매,초록마을,1000,건
친환경제품 구매,한살림,1000,건
친환경제품 구매,올가홀푸드,1000,건
고품질 재활용품 배출,수퍼빈(네프론),100,kg
고품질 재활용품 배출,오이스터에이블(오늘의분리수거),100,kg
고품질 재활용품 배출,에코아미고,100,kg
고품질 재활용품 배출,이노버스(쓰샘),100,kg
고품질 재활용품 배출,리코(Upbox),100,kg
폐휴대폰 반납,민팃(MINTIT),1000,대
폐휴대폰 반납,SK네트웍스,1000,대
친환경 숙박,야놀자,1000,박
친환경 숙박,여기어때,1000,박
기후행동 실천,당근마켓,300,건
기후행동 실천,번개장터,300,건
